City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,fort mcmurray,56.7268,-111.381,-30.23,76,100,3.09,CA,1704905225
258,kruisfontein,-34.0033,24.7314,19.94,90,99,5.46,ZA,1704905232
259,kinablangan,7.6947,126.5503,26.51,82,97,1.48,PH,1704905234
260,nantucket,41.2835,-70.0995,10.06,87,75,12.35,US,1704904971
261,ta'izz,13.5,44.0,17.88,40,0,2.56,YE,1704905004
262,matamata,-37.8106,175.7624,20.72,96,38,1.2,NZ,1704905238
263,murrells inlet,33.551,-79.0414,11.16,53,0,8.23,US,1704904988
264,sertania,-8.0736,-37.2644,31.68,41,77,1.54,BR,1704905105
265,sovetskaya gavan',48.9723,140.2878,-22.72,86,3,1.73,RU,1704904759
266,patterson,37.4716,-121.1297,6.7,72,15,1.85,US,1704904707
267,shipunovo,52.1582,82.2173,2.52,99,100,12.89,RU,1704905246
268,buka,40.8108,69.1986,9.61,50,100,0.88,UZ,1704905114
269,port augusta,-32.5,137.7667,21.93,56,0,4.67,AU,1704905248
270,vernon,50.2581,-119.2691,-1.66,74,100,1.03,CA,1704905119
271,vega de alatorre,20.0333,-96.6333,21.62,68,95,3.06,MX,1704905251
272,sakakah,29.9697,40.2064,17.76,30,5,1.93,SA,1704905252
273,reggane,26.7158,0.1714,22.0,10,100,2.74,DZ,1704905254
274,khvansar,33.2205,50.315,3.14,22,0,2.71,IR,1704905255
275,abu jibeha,11.4562,31.2285,29.42,24,73,3.42,SD,1704905256
276,carutapera,-1.195,-46.02,30.97,59,31,3.87,BR,1704905257
277,mugia,43.1041,-9.2179,11.06,76,95,7.99,ES,1704905259
278,baise city,23.8997,106.6133,17.97,99,100,1.11,CN,1704905260
279,novyy urgal,51.0736,132.5642,-35.19,100,24,0.88,RU,1704905262
280,richfield,44.8833,-93.283,-3.55,87,100,2.57,US,1704905263
281,dudinka,69.4058,86.1778,-30.15,96,63,3.97,RU,1704905265
282,turaif,31.6725,38.6637,12.14,40,0,1.54,SA,1704905267
283,yasuj,30.6682,51.588,4.75,9,0,3.09,IR,1704905268
284,sarikei,2.1167,111.5167,25.05,98,72,0.67,MY,1704905269
285,sisimiut,66.9395,-53.6735,-5.47,93,100,5.63,GL,1704905023
286,rabo de peixe,37.8,-25.5833,17.77,99,75,10.29,PT,1704905271
287,ceeldheer,3.8488,47.1806,25.4,72,15,10.83,SO,1704905272
288,villamontes,-21.25,-63.5,37.69,44,23,2.57,BO,1704905280
289,n'dalatando,-9.2978,14.9116,23.25,72,95,1.78,AO,1704905281
290,paita,-5.0892,-81.1144,26.13,67,13,4.49,PE,1704905283
291,kajatian,6.0311,120.9919,25.26,91,36,2.05,PH,1704905284
292,hincesti,46.8258,28.5936,-5.24,89,23,2.36,MD,1704905286
293,nortorf,54.1667,9.8667,0.01,93,83,1.96,DE,1704905288
294,at-bashi,41.1702,75.8106,-10.32,67,50,1.32,KG,1704905289
295,tsetserleg,47.475,101.4542,-16.25,88,6,2.39,MN,1704905290
296,kone,-21.0595,164.8658,24.03,89,88,2.08,NC,1704905291
297,cannonvale,-20.2833,148.7,25.66,81,76,5.04,AU,1704905163
298,lesnoy,57.6198,63.0784,-25.15,92,88,4.66,RU,1704905294
299,nakamura,32.9833,132.9333,3.8,89,54,1.81,JP,1704905295
300,knyaze-volkonskoye,48.4642,135.4567,-24.81,99,46,1.45,RU,1704905296
301,bozeman,45.6796,-111.0386,-2.32,46,0,2.57,US,1704905262
302,miyako,39.6367,141.9525,-2.62,57,1,1.9,JP,1704905298
303,usinsk,65.9939,57.5281,-22.74,99,100,1.34,RU,1704904928
304,timimoun,29.2639,0.231,21.21,14,0,1.54,DZ,1704905300
305,selfoss,63.9331,-20.9971,5.02,81,100,8.38,IS,1704905301
306,niwai,26.35,75.9167,12.19,36,0,2.16,IN,1704905302
307,chui,-33.6971,-53.4616,27.4,68,95,4.14,UY,1704905303
308,chaumont,48.1167,5.1333,-0.35,84,99,2.82,FR,1704905304
309,tadine,-21.55,167.8833,25.31,85,98,3.82,NC,1704905305
310,podgornoye,51.735,39.1496,-14.08,92,0,2.0,RU,1704905306
311,funafuti,-8.5243,179.1942,28.94,71,100,2.78,TV,1704905309
312,klaksvik,62.2266,-6.589,5.51,72,7,1.83,FO,1704905310
313,puerto armuelles,8.2833,-82.8667,31.99,80,7,1.34,PA,1704905203
314,daoukro,7.0591,-3.9631,36.1,25,22,1.14,CI,1704905313
315,krasnoturansk,54.3186,91.5639,-15.96,82,99,3.26,RU,1704905314
316,vilhena,-12.7406,-60.1458,24.12,88,75,5.14,BR,1704905317
317,vila franca do campo,37.7167,-25.4333,18.27,99,100,13.27,PT,1704905180
318,egilsstadir,65.2653,-14.3948,-0.05,80,0,0.51,IS,1704905320
319,champerico,14.3,-91.9167,31.3,67,4,2.59,GT,1704905321
320,puerto baquerizo moreno,-0.9,-89.6,28.55,74,40,6.17,EC,1704904809
321,glendive,47.1053,-104.7125,-16.21,78,20,5.14,US,1704905131
322,ola,59.5833,151.2833,-24.4,89,100,2.81,RU,1704904793
323,samsun,41.25,36.3333,5.42,70,75,3.09,TR,1704905327
324,omsk,55.0,73.4,-17.06,77,75,11.18,RU,1704905329
325,puerto san jose,13.9256,-90.8244,29.16,57,4,1.73,GT,1704905330
326,anori,-3.7728,-61.6442,29.42,69,100,1.33,BR,1704905331
327,kingston,17.997,-76.7936,30.69,64,75,12.86,JM,1704905332
328,mawu,29.5923,107.3139,10.75,71,85,1.61,CN,1704904785
329,sault ste. marie,46.5168,-84.3333,-3.69,68,100,6.17,CA,1704905172
330,dogonbadan,30.3586,50.7981,9.05,49,0,0.0,IR,1704905336
